Lokasi,Titik Koordinat,Kondisi,Jenis PJU,Jenis Tiang,Jenis Lampu,Latitude,Longitude,Kondisi_Biner,geometry,index_right,Kecamatan_Final
Tonjong Tonjongsari Cikalong,-7.737750 108.182349,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.73775,108.182349,0,POINT (108.182349 -7.73775),2.0,Cikalong
Cihelang Singkir Cikalong,-7.731169 108.179163,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.731169,108.179163,0,POINT (108.179163 -7.731169),2.0,Cikalong
Singkir Singkir Cikalong,-7.726421 108.178405,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.726421,108.178405,0,POINT (108.178405 -7.726421),2.0,Cikalong
Mekarjaya Panyiaran Cikalong,-7.715900 108.175724,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.7159,108.175724,0,POINT (108.175724 -7.7159),2.0,Cikalong
Cibeber Cibeber Cikalong,-7.710179 108.205740,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.710179,108.20574,0,POINT (108.20574 -7.710179),2.0,Cikalong
CIMANUK CIMANUK Cikalong,-7.812496 108.316112,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.812496,108.316112,0,POINT (108.316112 -7.812496),2.0,Cikalong
Sodong wangi Sindang jaya Cikalong,-7.794122 108.221710,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.794122,108.22171,0,POINT (108.22171 -7.794122),2.0,Cikalong
Cimanuk CIMANUK Cikalong,-7.812657 108.316743,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.812657,108.316743,0,POINT (108.316743 -7.812657),2.0,Cikalong
Cimanuk CIMANUK Cikalong,-7.809350 108.304922,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.80935,108.304922,0,POINT (108.304922 -7.80935),2.0,Cikalong
Cimanuk CIMANUK Cikalong,-7.810299 108.305133,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.810299,108.305133,0,POINT (108.305133 -7.810299),2.0,Cikalong
Cimanuk CIMANUK Cikalong,-7.813287 108.319239,Baik,PJU Konvensional,Tiang Tunggal,LED,-7.813287,108.319239,0,POINT (108.319239 -7.813287),2.0,Cikalong
Cimanuk CIMANUK Cikalong,-7.807229 108.292355,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.807229,108.292355,0,POINT (108.292355 -7.807229),2.0,Cikalong
Sukamenak CIMANUK Cikalong,-7.810240 108.321023,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.81024,108.321023,0,POINT (108.321023 -7.81024),2.0,Cikalong
Cembul Cimanuk Cikalong,-7.810014 108.324195,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.810014,108.324195,0,POINT (108.324195 -7.810014),2.0,Cikalong
Cimanuk Cimanuk Cikalong,-7.812766 108.316908,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.812766,108.316908,0,POINT (108.316908 -7.812766),2.0,Cikalong
Sukamenak Cimanuk Cikalong,-7.812045 108.314452,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.812045,108.314452,0,POINT (108.314452 -7.812045),2.0,Cikalong
Panyairan Cimanuk Cikalong,-7.809559 108.313580,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.809559,108.31358,0,POINT (108.31358 -7.809559),2.0,Cikalong
Pasirlasi Cimanuk Cikalong,-7.814476 108.331507,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.814476,108.331507,0,POINT (108.331507 -7.814476),2.0,Cikalong
Jodang Cikalong Cikalong,-7.757332 108.158856,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.757332,108.158856,0,POINT (108.158856 -7.757332),2.0,Cikalong
Jl.raya cikatomas Pakemitan Cikatomas,-7.610866 108.261222,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.610866,108.261222,0,POINT (108.261222 -7.610866),4.0,Cikatomas
Cipaku Pakemitan Cikatomas,-7.609820 108.262379,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.60982,108.262379,0,POINT (108.262379 -7.60982),4.0,Cikatomas
Jl Cikatomas Pangemitan Cikatomas,-7.6225260 108.2561076,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.622526,108.2561076,0,POINT (108.2561076 -7.622526),4.0,Cikatomas
Pakemitan Pakemitan Cikatomas,-7.616252 108.260212,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.616252,108.260212,0,POINT (108.260212 -7.616252),4.0,Cikatomas
Pakemitan 1 Pakemitan Cikatomas,-7.616424 108.260170,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.616424,108.26017,0,POINT (108.26017 -7.616424),4.0,Cikatomas
Jl Cikatomas Lingasana Cikatomas,-7.6224901 108.2578564,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.6224901,108.2578564,0,POINT (108.2578564 -7.6224901),4.0,Cikatomas
Pakemitan 2 Pakemitan Cikatomas,-7.616424 108.260170,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.616424,108.26017,0,POINT (108.26017 -7.616424),4.0,Cikatomas
Jl Cikatomas Lingalaksana Cikatomas,-7.6226128 108.2574538,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.6226128,108.2574538,0,POINT (108.2574538 -7.6226128),4.0,Cikatomas
Jl.raya cikatomas Pakemitan Cikatomas,-7.616946 108.259740,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.616946,108.25974,0,POINT (108.25974 -7.616946),4.0,Cikatomas
Citepus cikatomas Pakemitan Cikatomas,-7.618650 108.258183,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.61865,108.258183,0,POINT (108.258183 -7.61865),4.0,Cikatomas
Jl Cikatomas Cogreg Cikatomas,-7.6289529 108.2627183,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.6289529,108.2627183,0,POINT (108.2627183 -7.6289529),4.0,Cikatomas
Jl.raya cikatomas Pakemitan Cikatomas,-7.619246 108.257868,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.619246,108.257868,0,POINT (108.257868 -7.619246),4.0,Cikatomas
Citepus Pakemitan Cikatomas,-7.619693 108.257738,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.619693,108.257738,0,POINT (108.257738 -7.619693),4.0,Cikatomas
Jl Cikatomas Cogreg Cikatomas,-7.6301565 108.2634482,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.6301565,108.2634482,0,POINT (108.2634482 -7.6301565),4.0,Cikatomas
Pakemitan Pakemitan Cikatomas,-7.619963 108.257705,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.619963,108.257705,0,POINT (108.257705 -7.619963),4.0,Cikatomas
Pakemitan Pakemitan Cikatomas,-7.621125 108.257755,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.621125,108.257755,0,POINT (108.257755 -7.621125),4.0,Cikatomas
Jl Cikatomas Cogreg Cikatomas,-7.6308723 108.2644852,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.6308723,108.2644852,0,POINT (108.2644852 -7.6308723),4.0,Cikatomas
Pakemitan Pakemitan Cikatomas,-7.621120 108.258590,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.62112,108.25859,0,POINT (108.25859 -7.62112),4.0,Cikatomas
Kec.cikatomas Pakemitan Cikatomas,-7.621609 108.257778,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.621609,108.257778,0,POINT (108.257778 -7.621609),4.0,Cikatomas
Jl Cikatomas Cogreg Cikatomas,-7.6333872 108.2664831,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.6333872,108.2664831,0,POINT (108.2664831 -7.6333872),4.0,Cikatomas
Cikatomas Pakemitan Cikatomas,-7.622459 108.257921,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.622459,108.257921,0,POINT (108.257921 -7.622459),4.0,Cikatomas
Pakemitan Pakemitan Cikatomas,-7.623205 108.258052,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.623205,108.258052,0,POINT (108.258052 -7.623205),4.0,Cikatomas
Pakemitan Pakemitan Cikatomas,-7.623843 108.259195,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.623843,108.259195,0,POINT (108.259195 -7.623843),4.0,Cikatomas
Jl Cikatomas Cogreg Cikatomas,-7.6284810 108.2636416,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.628481,108.2636416,0,POINT (108.2636416 -7.628481),4.0,Cikatomas
Jl Cikatomas pangemitan Cogreg Cikatomas,-7.6281873 108.2637003,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.6281873,108.2637003,0,POINT (108.2637003 -7.6281873),4.0,Cikatomas
Pakemitan Pakemitan Cikatomas,-7.628322 108.262908,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.628322,108.262908,0,POINT (108.262908 -7.628322),4.0,Cikatomas
Cidadap Pakemitan Cikatomas,-7.628925 108.262807,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.628925,108.262807,0,POINT (108.262807 -7.628925),4.0,Cikatomas
Jl Cikatomas Cogreg Cikatomas,-7.6286861 108.2628128,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.6286861,108.2628128,0,POINT (108.2628128 -7.6286861),4.0,Cikatomas
Cibongas Pakemitan Cikatomas,-7.627093 108.264720,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.627093,108.26472,0,POINT (108.26472 -7.627093),4.0,Cikatomas
Bihbul Cilumba Cikatomas,-7.672386 108.273677,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.672386,108.273677,0,POINT (108.273677 -7.672386),3.0,Pancatengah
Cogreg Cogreg Cikatomas,-7.639179 108.297850,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.639179,108.29785,0,POINT (108.29785 -7.639179),4.0,Cikatomas
Cogreg Cogreg Cikatomas,-7.639650 108.299122,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.63965,108.299122,0,POINT (108.299122 -7.63965),4.0,Cikatomas
Jl panca tengah Bojong Cikatomas,-7.6792475 108.2721553,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.6792475,108.2721553,0,POINT (108.2721553 -7.6792475),3.0,Pancatengah
Jl panca tengah Bojong Cikatomas,-7.6835510 108.2697121,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.683551,108.2697121,0,POINT (108.2697121 -7.683551),3.0,Pancatengah
Jl panca tengah Ciwatin Cikatomas,-7.67178 108.2681913,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.67178,108.2681913,0,POINT (108.2681913 -7.67178),4.0,Cikatomas
