Lokasi,Titik Koordinat,Kondisi,Jenis PJU,Jenis Tiang,Jenis Lampu,Latitude,Longitude,Kondisi_Biner,geometry,index_right,Kecamatan_Final
Setia mulya Kslapa 6 Cikalong,-7.804325 108.280685,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.804325,108.280685,0,POINT (108.280685 -7.804325),2.0,Cikalong
Cipari Panyiaran Cikalong,-7.693286 108.170330,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.693286,108.17033,0,POINT (108.17033 -7.693286),2.0,Cikalong
Cipari Panyiaran Cikalong,-7.693832 108.170900,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.693832,108.1709,0,POINT (108.1709 -7.693832),2.0,Cikalong
Ds kolot Kalapa 6 Cikalong,-7.800656 108.272101,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.800656,108.272101,0,POINT (108.272101 -7.800656),2.0,Cikalong
PST Miftahul ulum Cibeber Cikalong,-7.694132 108.188435,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.694132,108.188435,0,POINT (108.188435 -7.694132),2.0,Cikalong
Bagjasari Panyiaran Cikalong,-7.700287 108.168131,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.700287,108.168131,0,POINT (108.168131 -7.700287),2.0,Cikalong
Ds kolot Kalspa 6 Cikalong,-7.800727 108.272493,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.800727,108.272493,0,POINT (108.272493 -7.800727),2.0,Cikalong
Bagjasari Panyiaran Cikalong,-7.700287 108.168131,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.700287,108.168131,0,POINT (108.168131 -7.700287),2.0,Cikalong
Jl cidadali Cidadali Cikalong,-7.7288959 108.2071878,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.7288959,108.2071878,0,POINT (108.2071878 -7.7288959),2.0,Cikalong
Cibeber Cibeber Cikalong,-7.701452 108.194789,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.701452,108.194789,0,POINT (108.194789 -7.701452),2.0,Cikalong
Sukamaju Kalapa genep Cikalong,-7.7883812 108.2915718,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.7883812,108.2915718,0,POINT (108.2915718 -7.7883812),2.0,Cikalong
Cibeber Cibeber Cikalong,-7.708123 108.195890,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.708123,108.19589,0,POINT (108.19589 -7.708123),2.0,Cikalong
"Kp.ciomas,tidak ada alamat tersebut Panyiaran Cikalong",-7.715855 108.179655,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.715855,108.179655,0,POINT (108.179655 -7.715855),2.0,Cikalong
Kp sukamaju Kalapa genep Cikalong,-7.7885174 108.2923865,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.7885174,108.2923865,0,POINT (108.2923865 -7.7885174),2.0,Cikalong
Cibeber Cibeber Cikalong,-7.708597 108.195389,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.708597,108.195389,0,POINT (108.195389 -7.708597),2.0,Cikalong
Barengkok panyiaran Panyiaran Cikalong,-7.715929 108.174038,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.715929,108.174038,0,POINT (108.174038 -7.715929),2.0,Cikalong
Singkir Singkir Cikalong,-7.727311 108.178387,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.727311,108.178387,0,POINT (108.178387 -7.727311),2.0,Cikalong
Andi laya Cibeber Cikalong,-7.710532 108.196567,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.710532,108.196567,0,POINT (108.196567 -7.710532),2.0,Cikalong
Singkir Singkir Cikalong,-7.729872 108.177926,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.729872,108.177926,0,POINT (108.177926 -7.729872),2.0,Cikalong
Cibeber Cibeber Cikalong,-7.708957 108.195088,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.708957,108.195088,0,POINT (108.195088 -7.708957),2.0,Cikalong
Jln masjid al barkah Kalapa 6 Cikalong,-7.806337 108.293412,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.806337,108.293412,0,POINT (108.293412 -7.806337),2.0,Cikalong
Singkir Singkir Cikalong,-7.731923 108.179625,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.731923,108.179625,0,POINT (108.179625 -7.731923),2.0,Cikalong
Jln cikaler Kslapa 6 Cikalong,-7.792718 108.288507,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.792718,108.288507,0,POINT (108.288507 -7.792718),2.0,Cikalong
Singkir Singkir Cikalong,-7.727687 108.181817,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.727687,108.181817,0,POINT (108.181817 -7.727687),2.0,Cikalong
Sirna galih Kalapa 6 Cikalong,-7.792718 108.288507,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.792718,108.288507,0,POINT (108.288507 -7.792718),2.0,Cikalong
Singkir Singkir Cikalong,-7.731294 108.188380,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.731294,108.18838,0,POINT (108.18838 -7.731294),2.0,Cikalong
Jl cikalong Cidadali Cikalong,-7.6981642 108.2121164,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.6981642,108.2121164,0,POINT (108.2121164 -7.6981642),2.0,Cikalong
Jl cikareut Cikalong Cikalong,-7.7528265 108.1970746,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.7528265,108.1970746,0,POINT (108.1970746 -7.7528265),2.0,Cikalong
Jl cibalong road Cikancra Cikalong,-7.7537520 108.1998198,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.753752,108.1998198,0,POINT (108.1998198 -7.753752),2.0,Cikalong
"Kp cikaler, soreang Kalapa genep Cikalong",-7.7933629 108.2996131,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.7933629,108.2996131,0,POINT (108.2996131 -7.7933629),2.0,Cikalong
Jl pasirmalang Cikancra Cikalong,-7.7449058 108.2121258,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.7449058,108.2121258,0,POINT (108.2121258 -7.7449058),2.0,Cikalong
Sirna galih Kalapagenep Cikalong,-7.7948455 108.2931476,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.7948455,108.2931476,0,POINT (108.2931476 -7.7948455),2.0,Cikalong
Jl cikancra ci jawer Ci kadu Cikalong,-7.7560592 108.2165105,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.7560592,108.2165105,0,POINT (108.2165105 -7.7560592),2.0,Cikalong
Jl cikancra Cikadu Cikalong,-7.7567007 108.2165796,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.7567007,108.2165796,0,POINT (108.2165796 -7.7567007),2.0,Cikalong
Jl cikancra Cikancra Cikalong,-7.7533195 108.2127189,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.7533195,108.2127189,0,POINT (108.2127189 -7.7533195),2.0,Cikalong
Jln suka jaya Kalapa genep Cikalong,-7.782490 108.286966,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.78249,108.286966,0,POINT (108.286966 -7.78249),2.0,Cikalong
Sindang hurip Cikalong Cikalong,-7.761522 108.162796,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.761522,108.162796,0,POINT (108.162796 -7.761522),2.0,Cikalong
Jl cidadap Mandala jaya Cikalong,-7.7759075 108.1605164,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.7759075,108.1605164,0,POINT (108.1605164 -7.7759075),2.0,Cikalong
Cikalong Cikalong Cikalong,-7.763334 108.173204,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.763334,108.173204,0,POINT (108.173204 -7.763334),2.0,Cikalong
Cilutung Cikalong Cikalong,-7.762821 108.174667,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.762821,108.174667,0,POINT (108.174667 -7.762821),2.0,Cikalong
Warung manggu Cikalong Cikalong,-7.760868 108.176761,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.760868,108.176761,0,POINT (108.176761 -7.760868),2.0,Cikalong
Jl cidadap Manadala jaya Cikalong,-7.7760537 108.1585490,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.7760537,108.158549,0,POINT (108.158549 -7.7760537),2.0,Cikalong
Bobos Mandalajaya Cikalong,-7.770292 108.177913,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.770292,108.177913,0,POINT (108.177913 -7.770292),2.0,Cikalong
Sodong Cikalong Cikalong,-7.748274 108.181493,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.748274,108.181493,0,POINT (108.181493 -7.748274),2.0,Cikalong
Cisodong Cikalong Cikalong,-7.746534 108.181041,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.746534,108.181041,0,POINT (108.181041 -7.746534),2.0,Cikalong
Cisodong Cikalong Cikalong,-7.745496 108.182824,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.745496,108.182824,0,POINT (108.182824 -7.745496),2.0,Cikalong
Cikaret Tonjongsari Cikalong,-7.744709 108.183038,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.744709,108.183038,0,POINT (108.183038 -7.744709),2.0,Cikalong
Tonjong Tonjongsari Cikalong,-7.740358 108.184886,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.740358,108.184886,0,POINT (108.184886 -7.740358),2.0,Cikalong
Saninten tonjong Tonjongsari Cikalong,-7.742154 108.185228,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.742154,108.185228,0,POINT (108.185228 -7.742154),2.0,Cikalong
Tonjong Tonjongsari Cikalong,-7.737241 108.181669,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.737241,108.181669,0,POINT (108.181669 -7.737241),2.0,Cikalong
