No;Lokasi;Kecamatan_Baru;Titik Koordinat;Lokasi Pemasangan;Kondisi;Jenis PJU;Jenis Tiang;Jenis Lampu
2325;Kaludan Pasir batang Manonjaya;Tidak Diketahui;-7.359414 108.349834;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2326;Sembung regol Pasir batang Manonjaya;Tidak Diketahui;-7.364360 108.366145;;Baik;PJU Konvensional;Tiang Stang;SON T
2327;Kertajaya pasir batang Pasir batang Manonjaya;Tidak Diketahui;-7.363254 108.365937;;Baik;PJU Solar Cell;Tiang Tunggal;LED
2328;Bakolong pasir batang Pasir batang Manonjaya;Tidak Diketahui;-7.363909 108.361845;;Baik;PJU Solar Cell;Tiang Stang;LED
2329;Sukarame Pasir batang Manonjaya;Tidak Diketahui;-7.360792 108.358271;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2330;Sembung rugul Pasir batang Manonjaya;Tidak Diketahui;-7.362579 108.355500;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2331;Jl RTA.PRAWIRA ADI NINGRAT Manonjaya Manonjaya;Tidak Diketahui;-7.3511304 108.3085220;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
2332;Jl RTA.PRAWIRA ADI NINGRAT Manonjaya Manonjaya;Tidak Diketahui;-7.3509518 108.3077586;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
2333;Mekarsari Cihaur Manonjaya;Tidak Diketahui;-7.3799440 108.3233080;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
2334;Mekarsari Cihaur Manonjaya;Tidak Diketahui;-7.3781585 108.3252288;;Rusak Ringan;PJU Konvensional;Tiang Stang;Mercury
2335;Ci baregbeg Ci haur Manonjaya;Tidak Diketahui;-7.3771284 108.3249650;;Rusak Ringan;PJU Konvensional;Tiang Tunggal;LED
2336;Cibaregbeg Cihaur Manonjaya;Tidak Diketahui;-7.3746686 108.3261817;;Rusak Ringan;PJU Konvensional;Tiang Tunggal;Mercury
2337;Simpang tiga Sukarame Cihaur Manonjaya;Tidak Diketahui;-7.375804 108.313456;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
2338;Sukarame Cihaur Manonjaya;Tidak Diketahui;-7.376057 108.315277;;Baik;PJU Konvensional;Tiang Stang;LED
2339;Sukarame Cihaur Manonjaya;Tidak Diketahui;-7.377472 108.313870;;Baik;PJU Konvensional;Tiang Stang;LED
2340;Umum cibayawak Cihaur Manonjaya;Tidak Diketahui;-7.387486 108.314633;;Baik;PJU Konvensional;Tiang Tunggal;LED
2341;Dpn dkm darul ulum Batu sumur Manonjaya;Tidak Diketahui;-7.392490 108.335098;;Baik;PJU Konvensional;Tiang Stang;SON T
2342;BatuCisumur Batu sumur Manonjaya;Tidak Diketahui;-7.392767 108.331706;;Baik;PJU Konvensional;Tiang Stang;SON T
2343;Yayasan Miftahul hidayah Batu sumur Manonjaya;Tidak Diketahui;-7.404362 108.337181;;Baik;PJU Konvensional;Tiang Tunggal;LED
2344;Simpang tiga kp sukawangi Pasir panjang Manonjaya;Tidak Diketahui;-7.361647 108.320930;;Baik;PJU Konvensional;Tiang Tunggal;LED
2345;Cihaur Batu sumur Manonjaya;Tidak Diketahui;-7.385750 108.323234;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
2346;Cikahuripan batusumur Cihaur Manonjaya;Tidak Diketahui;-7.386486 108.324219;;Baik;PJU Konvensional;Tiang Stang;Mercury
2347;Sangiang cihaur Manonjaya Cihaur Manonjaya;Tidak Diketahui;-7.376065 108.320818;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
2348;Kp gimbal Ci beber Manonjaya;Tidak Diketahui;-7.3845990 108.2978157;;Rusak Berat;PJU Konvensional;Tiang Stang;Mercury
2349;Cilangkuruk Cibeber Manonjaya;Tidak Diketahui;-7.3774995 108.2949564;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
2350;Cidamar ci oas Pasir panjang Manonjaya;Tidak Diketahui;-7.3596644 108.3198886;;Rusak Ringan;PJU Konvensional;Tiang Stang;Mercury
2351;Pamengpeuk gunajaya Pamengpeuk Manonjaya;Tidak Diketahui;-7.3732099 108.2686959;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
2352;Kp jelat jln pamengpek Gunajaya Manonjaya;Tidak Diketahui;-7.3739234 108.2647769;;Baik;PJU Konvensional;Tiang Stang;Mercury
2353;Jelat Guna jaya Manonjaya;Tidak Diketahui;-7.3742812 108.2643859;;Baik;PJU Konvensional;Tiang Double Arm;LED
2354;Cibeber Cibeber Manonjaya;Tidak Diketahui;-7.3778326 108.2886023;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
2355;MEKARJAYA MEKARJAYA Padakembang;Tidak Diketahui;-7.3082796 108.1262888;;Baik;PJU Konvensional;Tiang Stang;SON T
2356;MEKARJAYA MEKARJAYA Padakembang;Tidak Diketahui;-7.3083008 108.1257451;;Rusak Ringan;PJU Konvensional;Tiang Stang;SON T
2357;MEKARJAYA MEKARJAYA Padakembang;Tidak Diketahui;-7.3084045 108.1244599;;Baik;PJU Konvensional;Tiang Stang;SON T
2358;Babakan paniis Padakembang Padakembang Padakembang;Tidak Diketahui;-7.309882 108.119174;;Baik;PJU Konvensional;Tiang Stang;LED
2359;Kp sayuran Padakembang Padakembang;Tidak Diketahui;-7.306908 108.117830;;Baik;PJU Konvensional;Tiang Tunggal;LED
2360;Buniasih Padakembang Padakembang;Tidak Diketahui;-7.304938 108.117294;;Rusak Ringan;PJU Konvensional;Tiang Tunggal;SON T
2361;Jl.raya baru cisinga CILAMPUNGHILIR Padakembang;Tidak Diketahui;-7.331941 108.124041;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2362;Jl. Cisinga, Cilampunghilir, Kec. Padakembang, Ci lampung hilir Padakembang;Padakembang, Ci lampung hilir Padakembang;-7.3446990 108.1261470;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2363;Jl. Cisinga, Cilampunghilir, Kec. Padakembang, Kabupaten Tasikmalaya, Jawa Barat 46466 Cipampung hilir Padakembang;Padakembang, Kabupaten Tasikmalaya, Jawa Barat 46466 Cipampung hilir Padakembang;-7.333171 108.123657;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2364;Jl cilampung hilir Ci Lampung hilir Padakembang;Tidak Diketahui;-7.343247 108.127346;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2365;Jln raya cilampung hilir Cilampunghilir Padakembang;Tidak Diketahui;-7.342832 108.125131;;Baik;PJU Konvensional;Tiang Double Arm;LED
2366;Jl. Cisinga No.16, Cilampunghilir, Kec. Padakembang, Kabupaten Tasikmalaya, Jawa Barat 46466 Cilampung hilir Padakembang;Padakembang, Kabupaten Tasikmalaya, Jawa Barat 46466 Cilampung hilir Padakembang;-7.334402 108.124281;;Baik;PJU Konvensional;Tiang Tunggal;LED
2367;Jl ci sing Ci Lampung hilir Padakembang;Tidak Diketahui;-7.342181 108.127038;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2368;Jln ci lampung hilir Ci lampung hilir Padakembang;Tidak Diketahui;-7.343012 108.125295;;Rusak Berat;PJU Konvensional;Tiang Stang;SON T
2369;M47G+X42, Jl. Cisinga, Cilampunghilir, Kec. Padakembang, Kabupaten Tasikmalaya, Jawa Barat 46466 Cilampung hilir Padakembang;Padakembang, Kabupaten Tasikmalaya, Jawa Barat 46466 Cilampung hilir Padakembang;-7.335069 108.125442;;Baik;PJU Konvensional;Tiang Tunggal;LED
2370;Jl. Cisinga 16, Cilampunghilir, Kec. Padakembang, Kabupaten Tasikmalaya, Jawa Barat 46466 Cilampung hilir Padakembang;Padakembang, Kabupaten Tasikmalaya, Jawa Barat 46466 Cilampung hilir Padakembang;-7.335584 108.125362;;Rusak Berat;PJU Konvensional;Tiang Stang;Mercury
2371;Jl ci singa Ci Lampung hilir Padakembang;Tidak Diketahui;-7.342884 108.126669;;Baik;PJU Konvensional;Tiang Stang;LED
2372;Jln cilampung Cilampung hilir Padakembang;Tidak Diketahui;-7.342944 108.125714;;Baik;PJU Konvensional;Tiang Stang;LED
2373;M47G+H93, Jl. Cisinga, Cilampunghilir, Kec. Padakembang, Kabupaten Tasikmalaya, Jawa Barat 46466 Cilampung hilir Padakembang;Padakembang, Kabupaten Tasikmalaya, Jawa Barat 46466 Cilampung hilir Padakembang;-7.336124 108.126081;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
2374;Kp batu beulah Cisaruni Padakembang;Tidak Diketahui;-7.308850 108.121312;;Baik;PJU Konvensional;Tiang Stang;LED
2375;Jln raya cisinga Cilampunghilir Padakembang;Tidak Diketahui;-7.342827 108.125471;;Baik;PJU Konvensional;Tiang Stang;LED
2376;Jln raya cisinga Cilampung hilir Padakembang;Tidak Diketahui;-7.343418 108.126172;;Baik;PJU Konvensional;Tiang Tunggal;LED
2377;Jln cilampunghilir Cilampunghilir Padakembang;Tidak Diketahui;-7.342447 108.121541;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2378;Jln cilampung hilir Cilampung hilir Padakembang;Tidak Diketahui;-7.342308 108.121594;;Baik;PJU Konvensional;Tiang Stang;SON T
2379;Jl cisinga Cisaruni Padakembang;Tidak Diketahui;-7.308839 108.119278;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2380;Jl ci singa Ci saruni Padakembang;Tidak Diketahui;-7.308579 108.119209;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2381;Jl ci singa Cisaruni Padakembang;Tidak Diketahui;-7.308142 108.119280;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2382;Jl. Cisinga, kubangeceng Mekarjaya Padakembang;Tidak Diketahui;-7.298768 108.124805;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2383;Jl ci singa Ci saruni Padakembang;Tidak Diketahui;-7.309874 108.118990;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2384;KP.SIMENGKOL Mekarjaya Padakembang;Tidak Diketahui;-7.299081 108.125370;;Baik;PJU Konvensional;Tiang Tunggal;LED
2385;Jl cibenda Ci saruni Padakembang;Tidak Diketahui;-7.309341 108.117808;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2386;Jl. Baru Cisinga Mekarjaya Padakembang;Tidak Diketahui;-7.298271 108.125520;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2387;Jl. Cisinga Mekarjaya Padakembang;Tidak Diketahui;-7.297491 108.125778;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2388;Jl cisinga Cisaruni Padakembang;Tidak Diketahui;-7.306648 108.119615;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2389;Jl. Baru Cisinga Mekarjaya Padakembang;Tidak Diketahui;-7.297021 108.126066;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2390;Jl. Cisinga Mekarjaya Padakembang;Tidak Diketahui;-7.295503 108.127108;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2391;Jl ci singa Cisaruni Padakembang;Tidak Diketahui;-7.308142 108.119280;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2392;Jl. Cisinga Mekarjaya Padakembang;Tidak Diketahui;-7.295226 108.127302;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2393;Jl. Cisinga Mekarjaya Padakembang;Tidak Diketahui;-7.294314 108.127666;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2394;Jl cisinga Ci saruni Padakembang;Tidak Diketahui;-7.306699 108.119575;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2395;GOLACIR CILAMPUNG Padakembang;Tidak Diketahui;-7.3343332 108.1242092;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
2396;GAJAH BARANG CILAMPUNG Padakembang;Tidak Diketahui;-7.3332775 108.1229052;;Baik;PJU Konvensional;Tiang Tunggal;LED
2397;CISINGA CILAMPUNG Padakembang;Tidak Diketahui;-7.3208563 108.1211959;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
2398;jl baru cisinga CILAMPUNG Padakembang;Tidak Diketahui;-7.3222586 108.122209;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
2399;jl baru cisinga CILAMPUNG Padakembang;Tidak Diketahui;-7.3269811 108.1229625;;Rusak Ringan;PJU Konvensional;Tiang Tunggal;Mercury
2400;jl baru cisinga CILAMPUNG Padakembang;Tidak Diketahui;-7.32411 108.1222119;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
2401;jl baru cisinga CILAMPUNG Padakembang;Tidak Diketahui;-7.324821 108.1224097;;Rusak Ringan;PJU Konvensional;Tiang Tunggal;Mercury
2402;jl baru cisinga CILAMPUNG Padakembang;Tidak Diketahui;-7.3260933 108.1227154;;Rusak Ringan;PJU Konvensional;Tiang Tunggal;Mercury
2403;NANGKALEAH CILAMPUNG Padakembang;Tidak Diketahui;-7.3285284 108.1242366;;Baik;PJU Konvensional;Tiang Stang;SON T
2404;jl baru cisinga CILAMPUNG Padakembang;Tidak Diketahui;-7.3285824 108.1235719;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
2405;jl baru cisinga CILAMPUNG Padakembang;Tidak Diketahui;-7.3345754 108.1250402;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
2406;jl baru cisinga CILAMPUNG Padakembang;Tidak Diketahui;-7.3230239 108.1220348;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
2407;CIDOYANG CILAMPUNG Padakembang;Tidak Diketahui;-7.3300189 108.127303;;Baik;PJU Konvensional;Tiang Tunggal;LED
2408;NANGKALEAH CILAMPUNG Padakembang;Tidak Diketahui;-7.3300395 108.1255727;;Baik;PJU Konvensional;Tiang Stang;Mercury
2409;CILAMPUNG CILAMPUNG Padakembang;Tidak Diketahui;-7.3300362 108.126555;;Baik;PJU Konvensional;Tiang Stang;Mercury
2410;CILAMPUNG CILAMPUNG Padakembang;Tidak Diketahui;-7.328977 108.1250492;;Baik;PJU Konvensional;Tiang Stang;SON T
2411;NANGKALEAH CILAMPUNG Padakembang;Tidak Diketahui;-7.328472 108.1246769;;Baik;PJU Konvensional;Tiang Stang;Mercury
2412;KALAWAGAR RANCAPAKU Padakembang;Tidak Diketahui;-7.3286906 108.1443896;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
2413;SINDANGSARI RANCAPAKU Padakembang;Tidak Diketahui;-7.3234803 108.1396696;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
2414;jl rancapaku RANCAPAKU Padakembang;Tidak Diketahui;-7.3195072 108.1409543;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2415;GENTUR RANCAPAKU Padakembang;Tidak Diketahui;-7.3286785 108.1386815;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2416;RANCAPAKU RANCAPAKU Padakembang;Tidak Diketahui;-7.3178334 108.1432667;;Rusak Ringan;PJU Konvensional;Tiang Tunggal;LED
2417;RANCAPAKU RANCAPAKU Padakembang;Tidak Diketahui;-7.3189059 108.1411673;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
2418;KALAWAGAR RANCAPAKU Padakembang;Tidak Diketahui;-7.3223093 108.1405385;;Baik;PJU Konvensional;Tiang Stang;SON T
2419;GENTUR RANCAPAKU Padakembang;Tidak Diketahui;-7.3281418 108.1386033;;Baik;PJU Konvensional;Tiang Stang;Mercury
2420;CARIWUH RANCAPAKU Padakembang;Tidak Diketahui;-7.31273 108.1399697;;Baik;PJU Konvensional;Tiang Tunggal;LED
2421;GENTUR RANCAPAKU Padakembang;Tidak Diketahui;-7.3153125 108.1420735;;Baik;PJU Konvensional;Tiang Stang;LED
2422;Jalan Cisinga Cilampung Hilir Padakembang;Tidak Diketahui;-7.3397667 108.1273291;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2423;Jalan Cisinga Cilampunghilir Padakembang;Tidak Diketahui;-7.3414370 108.1272386;;Rusak Berat;PJU Konvensional;Tiang Tunggal;SON T
2424;Jalan Cisingan Cilampunghilir Padakembang;Tidak Diketahui;-7.3419022 108.1271869;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2425;Jalan Cisinga Cilampunghilir Padakembang;Tidak Diketahui;-7.3383834 108.1268185;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2426;Jalan Cisinga Cilampunghilir Padakembang;Tidak Diketahui;-7.3380445 108.1266532;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2427;Jln baru cisinga Mekarjaya Padakembang;Tidak Diketahui;-7.2988302 108.1249868;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2428;Jln Cisinga Mekarjaya Padakembang;Tidak Diketahui;-7.2981661 108.1255012;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2429;Jln Cisinga Mekarjaya Padakembang;Tidak Diketahui;-7.2973949 108.1257644;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2430;Jln Cisinga Mekarjaya Padakembang;Tidak Diketahui;-7.2969362 108.1259826;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2431;Jln Cisinga Mekarjaya Padakembang;Tidak Diketahui;-7.2961767 108.1263953;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2432;Jln Cisinga Mekarjaya Padakembang;Tidak Diketahui;-7.2956482 108.1268570;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2433;Jln Cisinga Mekarjaya Padakembang;Tidak Diketahui;-7.2951338 108.1272627;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2434;Jln Cisinga Mekarjaya Padakembang;Tidak Diketahui;-7.2940879 108.1277646;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2435;Jln Cisinga Cisaruni Padakembang;Tidak Diketahui;-7.3049007 108.1207174;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2436;Jln Cisinga Cisaruni Padakembang;Tidak Diketahui;-7.3058358 108.1200479;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2437;Jln Cisinga Cisaruni Padakembang;Tidak Diketahui;-7.3044517 108.1209780;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2438;Jln Cisinga Cisaruni Padakembang;Tidak Diketahui;-7.3034524 108.1214245;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2439;Jln Cisinga Cisaruni Padakembang;Tidak Diketahui;-7.3025445 108.1217887;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2440;Jln Cisinga Cisaruni Padakembang;Tidak Diketahui;-7.3019080 108.1220746;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2441;Jln Cisinga Cisaruni Padakembang;Tidak Diketahui;-7.3010660 108.1226949;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2442;Jln Cisinga Cisaruni Padakembang;Tidak Diketahui;-7.3002921 108.1235277;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2443;Taringgul Cisaruni Padakembang;Tidak Diketahui;-7.3103835 108.1166710;;Rusak Ringan;PJU Konvensional;Tiang Tunggal;LED
2444;Taringgul Cisaruni Padakembang;Tidak Diketahui;-7.3092006 108.1164551;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2445;Taringgul Cisaruni Padakembang;Tidak Diketahui;-7.3131340 108.1173077;;Baik;PJU Konvensional;Tiang Tunggal;LED
2446;Taringgul Cisaruni Padakembang;Tidak Diketahui;-7.3147193 108.1177707;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2447;Taringgul Cisaruni Padakembang;Tidak Diketahui;-7.3152467 108.1181482;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2448;Jln Cisinga Cisaruni Padakembang;Tidak Diketahui;-7.3110150 108.1168215;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2449;Jl ranjeng Mandalagiri Padakembang;Tidak Diketahui;-7.3152846 108.1112006;;Baik;PJU Konvensional;Tiang Tunggal;LED
2450;Jl.baru cisinga kedokan Cisaruni Padakembang;Tidak Diketahui;-7.319142 108.120806;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2451;Jl barucisinga mekarjaya MekRjaya Padakembang;Tidak Diketahui;-7.299391 108.1240414;;Rusak Berat;PJU Konvensional;Tiang Stang;Mercury
2452;Jln baru cisinga mekarjaya Mekarjaya Padakembang;Tidak Diketahui;-7.3004839 108.1233254;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2453;Jl Babakan paniis Padakembang Padakembang;Tidak Diketahui;-7.3069223 108.1152477;;Rusak Ringan;PJU Konvensional;Tiang Tunggal;SON T
2454;Kubang hurang Mekar jaya Padakembang;Tidak Diketahui;-7.2979319 108.1223264;;Baik;PJU Konvensional;Tiang Tunggal;LED
2455;Jl baru cisinga Saruni Padakembang;Tidak Diketahui;-7.3099941 108.1191373;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2456;Jl baru cisinga ci benda Saruni Padakembang;Tidak Diketahui;-7.3094976 108.1192070;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2457;Jln baru cisinga kubanghurang Mekar jaya Padakembang;Tidak Diketahui;-7.2966537 108.1211513;;Baik;PJU Konvensional;Tiang Tunggal;LED
2458;Jl baru cisinga Ci saruni Padakembang;Tidak Diketahui;-7.3090799 108.1192748;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2459;Jl baru cisinga Cisaruni Padakembang;Tidak Diketahui;-7.3084583 108.1193086;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2460;Jln kpkubang kuwu Mekar jaya Padakembang;Tidak Diketahui;-7.2944687 108.1191862;;Rusak Ringan;PJU Konvensional;Tiang Tunggal;LED
2461;Jl baru cisinga Saruni Padakembang;Tidak Diketahui;-7.3079625 108.1193478;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2462;Karangdan Mekarjaya Padakembang;Tidak Diketahui;-7.2957722 108.1174825;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2463;Jl baru cisinga Saruni Padakembang;Tidak Diketahui;-7.3074321 108.1194068;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2464;Jl baru cisinga Saruni Padakembang;Tidak Diketahui;-7.3066256 108.1195805;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2465;Citis Pada kembang Padakembang;Tidak Diketahui;-7.2646594 108.0889508;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2466;Jl buniasih Saruni Padakembang;Tidak Diketahui;-7.3073453 108.1180232;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2467;Kedusunankedung Padakembang Padakembang;Tidak Diketahui;-7.2784107 108.1078481;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2468;Jl sanyur Pada kembang Padakembang;Tidak Diketahui;-7.3034714 108.1156390;;Baik;PJU Konvensional;Tiang Tunggal;LED
2469;Kedung Padakembang Padakembang;Tidak Diketahui;-7.2800424 108.104528;;Baik;PJU Konvensional;Tiang Tunggal;LED
2470;Jl buniasih Pada kembang Padakembang;Tidak Diketahui;-7.3044467 108.1164068;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2471;Jl ci saruni Saruni Padakembang;Tidak Diketahui;-7.3093176 108.1177717;;Baik;PJU Konvensional;Tiang Stang;SON T
2472;Jl baru cisinga Ci saruni Padakembang;Tidak Diketahui;-7.3127423 108.1190012;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2473;Jl baru cisinga Cisaruni Padakembang;Tidak Diketahui;-7.3141542 108.1198484;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2474;Jln baru Padakembang Padakembang;Tidak Diketahui;-7.3078192 108.118028;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2475;Sayuran Padakembang Padakembang;Tidak Diketahui;-7.3039128 108.1157145;;Rusak Ringan;PJU Konvensional;Tiang Tunggal;SON T
2476;Cikapan kp sayuan Padakembang Padakembang;Tidak Diketahui;-7.3037992 108.1157369;;Baik;PJU Konvensional;Tiang Tunggal;LED
2477;Jl cangkudu lamping Cilampung hilir Padakembang;Tidak Diketahui;-7.3270719 108.1332544;;Baik;PJU Konvensional;Tiang Tunggal;LED
2478;Pasiripis hilir Padakembang Padakembang;Tidak Diketahui;-7.2972783 108.111647;;Baik;PJU Konvensional;Tiang Tunggal;LED
2479;SCLH Cilampung hilir Padakembang;Tidak Diketahui;-7.3274802 108.1287587;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2480;Jlnpasiripis Padakembang Padakembang;Tidak Diketahui;-7.2956322 108.1106208;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2481;Jl boregah Cilampung hilir Padakembang;Tidak Diketahui;-7.3301016 108.1283433;;Baik;PJU Konvensional;Tiang Tunggal;LED
2482;Cariwuh Rancapaku Padakembang;Tidak Diketahui;-7.327289 108.138853;;Baik;PJU Konvensional;Tiang Stang;LED
2483;Jl cilampung hilir Cilampung hilir Padakembang;Tidak Diketahui;-7.3289674 108.1282182;;Baik;PJU Konvensional;Tiang Stang;SON T
2484;Jln pasir ipis Padakembang Padakembang;Tidak Diketahui;-7.2968347 108.1230409;;Rusak Ringan;PJU Konvensional;Tiang Tunggal;LED
2485;Kp gentur Rancapaku Padakembang;Tidak Diketahui;-7.328172 108.138539;;Baik;PJU Konvensional;Tiang Stang;SON T
2486;Jl sampalan Cilampung hilir Padakembang;Tidak Diketahui;-7.3326236 108.1300941;;Rusak Ringan;PJU Konvensional;Tiang Tunggal;LED
2487;Pasiripis girang Padakembang Padakembang;Tidak Diketahui;-7.2961281 108.1103305;;Baik;PJU Konvensional;Tiang Tunggal;LED
2488;Jl boregah Cilampung hilir Padakembang;Tidak Diketahui;-7.3320293 108.1294678;;Rusak Ringan;PJU Konvensional;Tiang Tunggal;LED
2489;Kp cigula Padakembang Padakembang;Tidak Diketahui;-7.2943399 108.1064247;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2490;Jl boregah Cilampung hilir Padakembang;Tidak Diketahui;-7.3310204 108.1290719;;Baik;PJU Konvensional;Tiang Stang;SON T
2491;Cileutik Padakembang Padakembang;Tidak Diketahui;-7.2949613 108.1062338;;Baik;PJU Konvensional;Tiang Tunggal;LED
2492;Jln bendungan Padakembang Padakembang;Tidak Diketahui;-7.3069963 108.1152097;;Rusak Ringan;PJU Konvensional;Tiang Tunggal;SON T
2493;Cipeuteuy Rancapaku Padakembang;Tidak Diketahui;-7.307794 108.134185;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2494;Cipeuteuy ds.rancapaku Rancapaku Padakembang;Tidak Diketahui;-7.307984 108.134539;;Rusak Ringan;PJU Konvensional;Tiang Tunggal;LED
2495;Cipeuteuy Rancapaku Padakembang;Tidak Diketahui;-7.308389 108.134850;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2496;Cipanglandian 1 Rancapaku Padakembang;Tidak Diketahui;-7.314531 108.129632;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2497;Gn.kondang sawo,cilampung hilir Cilampung hilir Padakembang;Tidak Diketahui;-7.323858 108.128299;;Baik;PJU Konvensional;Tiang Tunggal;LED
2498;Babakan muncang cisaruni Cisaruni Padakembang;Tidak Diketahui;-7.316439 108.117477;;Baik;PJU Konvensional;Tiang Tunggal;SON T
2499;Perum Korpri Cilampunghilir Padakembang;Tidak Diketahui;-7.3382936 108.1262609;;Baik;PJU Konvensional;Tiang Stang;Mercury
2500;Perum Korpri Cilampunghilir Padakembang;Tidak Diketahui;-7.3377546 108.1256950;;Baik;PJU Konvensional;Tiang Stang;Mercury
2501;Perum Korpri Cilampunghilir Padakembang;Tidak Diketahui;-7.3381692 108.1252836;;Baik;PJU Konvensional;Tiang Stang;Mercury
2502;Perum Korpri Cilampunghilir Padakembang;Tidak Diketahui;-7.3387139 108.1254210;;Rusak Ringan;PJU Konvensional;Tiang Stang;Mercury
2503;Perum Korpri Cilampunghilir Padakembang;Tidak Diketahui;-7.3387335 108.1244645;;Baik;PJU Konvensional;Tiang Stang;Mercury
2504;Perum Korpri Cilampunghilir Padakembang;Tidak Diketahui;-7.3380798 108.1247579;;Baik;PJU Konvensional;Tiang Stang;Mercury
