No;Lokasi;Kecamatan_Baru;Titik Koordinat;Lokasi Pemasangan;Kondisi;Jenis PJU;Jenis Tiang;Jenis Lampu
85;Wakaf pamijahan Parakan honje Bantarkalong;Bantakalong;-7.571448 108.103414;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
86;Pamijahan Parakan honje Bantarkalong;Bantakalong;-7.569918 108.103452;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
87;Panyalahan Pamijahan Bantarkalong;Bantakalong;-7.568707 108.074863;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
88;Panyalahan Pamijahan Bantarkalong;Bantakalong;-7.569055 108.075301;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
89;Pamijahan Pamijahan Bantarkalong;Bantakalong;-7.567763 108.071665;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
90;Sangulat Sukamaju Bantarkalong;Bantakalong;-7.553192 108.090245;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
91;Sangulat Sukamaju Bantarkalong;Bantakalong;-7.552276 108.089571;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
92;Koranji pamijahan Pamijahan Bantarkalong;Bantakalong;-7.559770 108.077186;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
93;Cipurut sukamaju Sukamaju Bantarkalong;Bantakalong;-7.553983 108.093960;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
94;Bubuay Wangun sari Bantarkalong;Bantakalong;-7.543978 108.065871;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
95;Mekar laksana Wangun sari Bantarkalong;Bantakalong;-7.544743 108.067162;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
96;Datar petir Sukamaju Bantarkalong;Bantakalong;-7.545390 108.094242;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
97;Datar petir Sukamaju Bantarkalong;Bantakalong;-7.540707 108.093600;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
98;Satron Wangun sari Bantarkalong;Bantakalong;-7.540928 108.059684;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
99;Ciranini Wangun sari Bantarkalong;Bantakalong;-7.542821 108.058303;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
100;Wangun sari Wangun sari Bantarkalong;Bantakalong;-7.540615 108.046383;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
101;Lembur gede Wangun sari Bantarkalong;Bantakalong;-7.540901 108.045673;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
102;Lalis wangun sari Wangun sari Bantarkalong;Bantakalong;-7.540901 108.045673;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
103;Mekarjaya wakap Wakap Bantarkalong;Bantakalong;-7.524925 108.083126;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
104;Singkup DS wakap Wakap Bantarkalong;Bantakalong;-7.523971 108.083943;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
105;Jati Wangun sari Bantarkalong;Bantakalong;-7.537411 108.026606;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
106;Cigaru Wangun sari Bantarkalong;Bantakalong;-7.541563 108.029690;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
107;Cigaru Wakap Bantarkalong;Bantakalong;-7.516662 108.089382;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
108;Cisenting Wangun sari Bantarkalong;Bantakalong;-7.544627 108.038351;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
109;Puspa Wakap Bantarkalong;Bantakalong;-7.522960 108.084938;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
110;Lalis Wangun sari Bantarkalong;Bantakalong;-7.542590 108.042067;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
111;Lalis Wangun sari Bantarkalong;Bantakalong;-7.539798 108.048643;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
112;Datar jambu Toblongan Bantarkalong;Bantakalong;-7.532145 108.103376;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
113;Balagendong Wangun sari Bantarkalong;Bantakalong;-7.532177 108.045766;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
114;Pencut kondang Wakap Bantarkalong;Bantakalong;-7.538538 108.085920;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
115;Biru wakap Wakap Bantarkalong;Bantakalong;-7.529494 108.083830;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
116;Mekarsari Wakap Bantarkalong;Bantakalong;7,535,297,108,086,170;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
117;Datar randu Wakap Bantarkalong;Bantakalong;7,537,621,108,092,430;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
118;Datar Gintung Wakap Bantarkalong;Bantakalong;-7.549212 108.091730;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
119;Simpang Simpang Bantarkalong;Bantakalong;-7.623063 108.105262;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
120;Simpang Simpang Bantarkalong;Bantakalong;-7.623277 108.105549;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
121;Bantar kalong Simpang Bantarkalong;Bantakalong;-7.622790 108.104918;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
122;Simpang Simpang Bantarkalong;Bantakalong;-7.623510 108.106705;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
123;Simpang Simpang Bantarkalong;Bantakalong;-7.623550 108.106715;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
124;Simpang Simpang Bantarkalong;Bantakalong;-7.623369 108.107198;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
125;Simpang Simpang Bantarkalong;Bantakalong;-7.623308 108.107408;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
126;Hegarwangi Simpang Bantarkalong;Bantakalong;-7.625631 108.109079;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
127;Cibogor Sirna galih Bantarkalong;Bantakalong;-7.632250 108.074727;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
128;Burujul sirna galih Sirna galih Bantarkalong;Bantakalong;-7.625779 108.072537;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
129;Mekarjaya Wakaf Bantarkalong;Bantakalong;-7.525339 108.088254;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
130;Nangreu Sirnagalih Sirna galih Bantarkalong;Bantakalong;-7.622109 108.086259;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
131;Singkup ds.wakap Wakap Bantarkalong;Bantakalong;-7.524171 108.086556;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
132;Nangreu Sirna galih Bantarkalong;Bantakalong;-7.621092 108.078453;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
133;Cikankareng Sirnagalih Bantarkalong;Bantakalong;-7.621736 108.094135;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
134;Cikuya Simpang Bantarkalong;Bantakalong;-7.621714 108.100988;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
135;Ciasmin Simpang Bantarkalong;Bantakalong;-7.622011 108.101146;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
136;Datat randu Sukamaju Bantarkalong;Bantakalong;-7.538222 108.093342;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
137;Datar randu Sukamaju Bantarkalong;Bantakalong;-7.538222 108.093342;Kiri;Baik;PJU Konvensional;Tiang Stang;Mercury
138;Datar randu Sukamaju Bantarkalong;Bantakalong;-7.538222 108.093342;Kiri;Baik;PJU Konvensional;Tiang Stang;Mercury
139;Pugeran Sukamaju Bantarkalong;Bantakalong;-7.539758 108.093728;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
140;Pugeran Sukamaju Bantarkalong;Bantakalong;-7.539866 108.094193;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
141;Datar gintung Sukamaju Bantarkalong;Bantakalong;-7.539314 108.091799;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
