Titik Koordinat,Kondisi,Jenis PJU,Jenis Tiang,Jenis Lampu,Kecamatan,Kondisi_Biner,Latitude,Longitude,index_right,Kecamatan_Final
-7.4190418 108.0810905,Baik,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,0,-7.4190418,108.0810905,14.0,Puspahiang
-7.406869 108.050150,Baik,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,0,-7.406869,108.05015,14.0,Puspahiang
-7.433498 108.085954,Baik,PJU Konvensional,Tiang Tunggal,Mercury,Puspahiang,0,-7.433498,108.085954,14.0,Puspahiang
-7.4177395 108.0722432,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.4177395,108.0722432,14.0,Puspahiang
-7.4184407 108.0616525,Baik,PJU Konvensional,Tiang Tunggal,LED,Puspahiang,0,-7.4184407,108.0616525,14.0,Puspahiang
-7.414527 108.049219,Baik,PJU Konvensional,Tiang Stang,SON T,Puspahiang,0,-7.414527,108.049219,14.0,Puspahiang
-7.413699 108.049437,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.413699,108.049437,14.0,Puspahiang
-7.417018 108.047027,Baik,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,0,-7.417018,108.047027,14.0,Puspahiang
-7.417112 108.047329,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.417112,108.047329,14.0,Puspahiang
-7.4227342 108.0651521,Baik,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,0,-7.4227342,108.0651521,14.0,Puspahiang
-7.434782 108.088905,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.434782,108.088905,14.0,Puspahiang
-7.4269778 108.0729480,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.4269778,108.072948,14.0,Puspahiang
-7.413560 108.043434,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.41356,108.043434,14.0,Puspahiang
-7.418682 108.033793,Baik,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,0,-7.418682,108.033793,14.0,Puspahiang
-7.414390 108.022174,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.41439,108.022174,14.0,Puspahiang
-7.4087744 108.0704190,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.4087744,108.070419,14.0,Puspahiang
-7.412679 108.016944,Rusak Berat,PJU Konvensional,Tiang Tunggal,Mercury,Puspahiang,1,-7.412679,108.016944,14.0,Puspahiang
-7.4081413 108.0700696,Baik,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,0,-7.4081413,108.0700696,14.0,Puspahiang
-7.409357 108.012901,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.409357,108.012901,14.0,Puspahiang
-7.409136 108.008107,Rusak Berat,PJU Konvensional,Tiang Tunggal,Mercury,Puspahiang,1,-7.409136,108.008107,14.0,Puspahiang
-7.4239637 108.0531958,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.4239637,108.0531958,14.0,Puspahiang
-7.407110 108.004594,Baik,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,0,-7.40711,108.004594,14.0,Puspahiang
-7.406199 108.002507,Baik,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,0,-7.406199,108.002507,14.0,Puspahiang
-7.4198284 108.0497807,Baik,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,0,-7.4198284,108.0497807,14.0,Puspahiang
-7.405465 108.001326,Baik,PJU Konvensional,Tiang Tunggal,LED,Puspahiang,0,-7.405465,108.001326,14.0,Puspahiang
-7.4236990 108.0495021,Baik,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,0,-7.423699,108.0495021,14.0,Puspahiang
-7.405883 108.000405,Baik,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,0,-7.405883,108.000405,14.0,Puspahiang
-7.4300956 108.0487400,Baik,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,0,-7.4300956,108.04874,14.0,Puspahiang
-7.4185138 108.0487578,Baik,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,0,-7.4185138,108.0487578,14.0,Puspahiang
-7.414947 108.027471,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.414947,108.027471,14.0,Puspahiang
